#chan dT(mK)
0 +1.420
1 +0.468
2 +0.762
3 -1.312
4 +2.029
5 +0.086
6 +1.249
7 -0.368
8 -0.657
9  -1.294
10 +0.235
11 -0.192
12 -0.269
13 +0.827
14 -0.685
15 -0.702
16 -0.937
17 +1.331
18 -1.772
19 -0.530
20 +0.330
21 +1.205
22 +1.613
23 +0.300
24 -0.046
25 -0.026
26 -0.519
27 +0.924
28 +0.230
29 +0.877
30 -0.650
31 -1.004
32 +0.248
33 -1.169
34 +0.915
35 +1.113
36 +1.463
37 +2.732
38 +0.571
39 +0.865
40 -0.849
41 -0.171
42 +1.031
43 +1.105
44 -0.344
45 -0.087
46 -0.351
47 +1.248
48 +0.001
49 +0.360
50 -0.497
51 -0.072
52 +1.094
53 -1.425
54 +0.283
55 -1.526
56 -1.174
57 -0.558
58 +1.282
59 -0.384
60 -0.120
61 -0.187
62 +0.646
63 +0.399
